Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2011,Arkansas,20.1,6.8,25.1,48,"{'human_address': '{""address"":""Arkansas"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '34.748649999697875', 'longitude': '-92.27448999971358'}"
2011,South Carolina,16.6,6.6,24,52.8,"{'human_address': '{""address"":""South Carolina"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '33.99855000018255', 'longitude': '-81.0452500001872'}"
2011,Maryland,13.7,5.4,22.6,58.3,"{'human_address': '{""address"":""Maryland"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '39.29057999976732', 'longitude': '-76.6092600004485'}"
2011,Ohio,19.1,6,25.2,49.7,"{'human_address': '{""address"":""Ohio"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.06020999969189', 'longitude': '-82.40426000019869'}"
2011,Hawaii,12.2,4.7,25.9,57.3,"{'human_address': '{""address"":""Hawaii"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '21.304850000427336', 'longitude': '-157.85774999956269'}"
2011,Oregon,14.4,5.4,27.5,52.8,"{'human_address': '{""address"":""Oregon"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '44.567449999917756', 'longitude': '-120.15502999983448'}"
2011,Nebraska,14.5,5.4,24.3,55.7,"{'human_address': '{""address"":""Nebraska"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '41.6410400000961', 'longitude': '-99.36572999973953'}"
2011,Michigan,17.3,6,25.7,51,"{'human_address': '{""address"":""Michigan"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '44.661320000317914', 'longitude': '-84.71438999959867'}"
2011,Utah,8.5,3.3,16,72.2,"{'human_address': '{""address"":""Utah"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '39.36070000030492', 'longitude': '-111.58712999994941'}"
2011,Alaska,15.9,7,27.9,49.1,"{'human_address': '{""address"":""Alaska"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '64.84507999974238', 'longitude': '-147.72205999986895'}"
