"teams","homeTeam","awayTeam","homeScore","awayScore"
"Oklahoma State","Oklahoma","UCLA","49","21"
"Old Dominion","Oklahoma State","South Alabama","55","13"
"Oregon","Oregon","Portland State","62","14"
"Oregon State","Oregon State","Southern Utah","48","25"
"Penn State","Pittsburgh","Penn State","6","51"
"Pittsburgh","San Diego State","Sacramento State","28","14"
"Portland State","South Florida","Georgia Tech","49","38"
"Purdue","Stanford","Southern California","17","3"
"Rhode Island","Tennessee","East Tennessee State","59","3"
"Rice","Texas","Tulsa","28","21"
"Richmond","Texas State","Texas Southern","36","20"
"Rutgers","Texas Tech","Lamar","77","0"
"Sacramento State","Troy","Florida A&M","59","7"
"Samford","Northern Illinois","Utah","6","17"
"San Diego State","Utah State","New Mexico State","60","13"
"San Jose State","Vanderbilt","Nevada","41","10"
"Savannah State","Washington","North Dakota","45","3"
"South Alabama","Washington State","San Jose State","31","0"
"South Carolina","West Virginia","Youngstown State","52","17"
"South Carolina State","Wisconsin","New Mexico","45","14"
"South Dakota","Campbell","Coastal Carolina","21","58"
"South Florida","Wake Forest","Boston College","34","41"
"Southeast Missouri State","Utah State","Tennessee Tech","73","12"
"Southeastern Louisiana","Memphis","Georgia State","59","22"
"Southern","Northwestern","Akron","34","39"
"Southern California","Mississippi","Alabama","7","62"
"Southern Illinois","Alabama-Birmingham","Tulane","31","24"
"Southern Methodist","Arizona","Southern Utah","62","31"
"Southern Mississippi","Tulsa","Arkansas State","20","29"
"Southern Utah","Army","Hawaii","28","21"
"Stanford","Bowling Green State","Eastern Kentucky","42","35"
"Stephen F. Austin","Wisconsin","Brigham Young","21","24"
"Stony Brook","Buffalo","Eastern Michigan","35","28"
"Syracuse","California","Idaho State","45","23"
"Temple","Charlotte","Old Dominion","28","25"
"Tennessee","Cincinnati","Alabama A&M","63","7"
"Tennessee-Martin","Clemson","Georgia Southern","38","7"
"Tennessee State","Colorado","New Hampshire","45","14"
"Tennessee Tech","Connecticut","Rhode Island","56","49"
"Texas","Baylor","Duke","27","40"
"Texas-El Paso","Florida","Colorado State","48","10"
"Texas-San Antonio","Florida International","Massachusetts","63","24"
"Texas A&M","UCLA","Fresno State","14","38"
"Texas Christian","Georgia","Middle Tennessee State","49","7"
"Texas Southern","Indiana","Ball State","38","10"
"Texas State","Iowa","Northern Iowa","38","14"
"Texas Tech","Kansas","Rutgers","55","14"
"Toledo","Kansas State","Texas-San Antonio","41","17"
"Troy","Kentucky","Murray State","48","10"
"Tulane","Auburn","Louisiana State","21","22"
"Tulsa","Louisville","Western Kentucky","20","17"
"UCLA","Toledo","Miami (FL)","24","49"
"Utah","Michigan","Southern Methodist","45","20"
"Utah State","Minnesota","Miami (OH)","26","3"
"Vanderbilt","Mississippi State","Louisiana","56","10"
"Villanova","Purdue","Missouri","37","40"
"Virginia","Navy","Lehigh","51","21"
"Virginia Military Institute","Nevada","Oregon State","37","35"
"Virginia Tech","New Mexico State","New Mexico","25","42"
"Wake Forest","Arkansas","North Texas","17","44"
"Washington","Northern Illinois","Central Michigan","24","16"
"Washington State","Notre Dame","Vanderbilt","22","17"
"Weber State","Ohio State","Texas Christian","40","28"
"West Virginia","Iowa State","Oklahoma","27","37"
"Western Carolina","Oklahoma State","Boise State","44","21"
"Western Illinois","Oregon","San Jose State","35","22"
"Western Kentucky","Penn State","Kent State","63","10"
"Western Michigan","Pittsburgh","Georgia Tech","24","19"
"Wisconsin","San Diego State","Arizona State","28","21"
"Wyoming","South Alabama","Texas State","41","31"
"Youngstown State","South Florida","Illinois","25","19"
