"teams","homeTeam","awayTeam","homeScore","awayScore"
"NA","Massachusetts","Brigham Young","16","35"
"NA","Southern California","California","14","15"
"NA","Central Florida","Navy","35","24"
"NA","Cincinnati","South Florida","35","23"
"NA","Boston College","Clemson","7","27"
"NA","Duke","North Carolina","42","35"
"NA","Eastern Michigan","Akron","27","7"
"NA","Florida","South Carolina","35","31"
"NA","Florida Atlantic","Western Kentucky","34","15"
"NA","Texas-San Antonio","Florida International","7","45"
"NA","Georgia","Auburn","27","10"
"NA","Georgia Tech","Miami (FL)","27","21"
"NA","Indiana","Maryland","34","32"
"NA","Iowa State","Baylor","28","14"
"NA","Kansas State","Kansas","21","17"
"NA","Louisiana","Georgia State","36","22"
"NA","Arkansas","Louisiana State","17","24"
"NA","Louisiana Tech","Rice","28","13"
"NA","South Alabama","Louisiana-Monroe","10","38"
"NA","Marshall","Charlotte","30","13"
"NA","Memphis","Tulsa","47","21"
"NA","Rutgers","Michigan","7","42"
"NA","Texas-El Paso","Middle Tennessee State","32","48"
"NA","Minnesota","Purdue","41","10"
"NA","Missouri","Vanderbilt","33","28"
"NA","Nebraska","Illinois","54","35"
"NA","Nevada","Colorado State","49","10"
"NA","San Diego State","Nevada-Las Vegas","24","27"
"NA","Iowa","Northwestern","10","14"
"NA","Notre Dame","Florida State","42","13"
"NA","Michigan State","Ohio State","6","26"
"NA","Oklahoma","Oklahoma State","48","47"
"NA","Old Dominion","North Texas","34","31"
"NA","Penn State","Wisconsin","22","10"
"NA","Pittsburgh","Virginia Tech","52","22"
"NA","Connecticut","Southern Methodist","50","62"
"NA","Stanford","Oregon State","48","17"
"NA","Houston","Temple","49","59"
"NA","Tennessee","Kentucky","24","7"
"NA","Texas Tech","Texas","34","41"
"NA","Texas A&M","Mississippi","38","24"
"NA","Georgia Southern","Troy","21","35"
"NA","Tulane","East Carolina","24","18"
"NA","Utah","Oregon","32","25"
"NA","Utah State","San Jose State","62","24"
"NA","Colorado","Washington State","7","31"
"NA","West Virginia","Texas Christian","47","10"
"NA","Ball State","Western Michigan","42","41"
"NA","Northern Illinois","Miami (OH)","7","13"
"NA","Ohio","Buffalo","52","17"
"NA","Houston","Tulane","48","17"
"NA","North Texas","Florida Atlantic","41","38"
"NA","Kent State","Toledo","34","56"
"NA","New Mexico","Boise State","14","45"
"NA","Southern Methodist","Memphis","18","28"
"NA","Alabama","Citadel","50","17"
"NA","Appalachian State","Georgia State","45","17"
"NA","Arkansas State","Louisiana-Monroe","31","17"
"NA","Akron","Bowling Green State","6","21"
"NA","Brigham Young","New Mexico State","45","10"
"NA","Central Florida","Cincinnati","38","13"
"NA","Clemson","Duke","35","6"
"NA","East Carolina","Connecticut","55","21"
"NA","Florida","Idaho","63","10"
"NA","Charlotte","Florida International","35","42"
"NA","Florida State","Boston College","22","21"
"NA","Fresno State","San Diego State","23","14"
"NA","Georgia","Massachusetts","66","27"
"NA","Coastal Carolina","Georgia Southern","17","41"
"NA","Georgia Tech","Virginia","30","27"
"NA","Hawaii","Nevada-Las Vegas","35","28"
"NA","Illinois","Iowa","0","63"
"NA","Kansas State","Texas Tech","21","6"
"NA","Kentucky","Middle Tennessee State","34","23"
"NA","Louisiana","South Alabama","48","38"
"NA","Louisiana State","Rice","42","10"
"NA","Marshall","Texas-San Antonio","23","0"
"NA","Virginia Tech","Miami (FL)","14","38"
"NA","Michigan","Indiana","31","20"
"NA","Mississippi State","Arkansas","52","6"
"NA","Tennessee","Missouri","17","50"
"NA","Navy","Tulsa","37","29"
"NA","Nebraska","Michigan State","9","6"
"NA","San Jose State","Nevada","12","21"
"NA","North Carolina","Western Carolina","49","26"
"NA","Louisville","North Carolina State","10","52"
"NA","Minnesota","Northwestern","14","24"
"NA","Notre Dame","Syracuse","36","3"
"NA","Maryland","Ohio State","51","52"
"NA","Oklahoma","Kansas","55","40"
"NA","Oklahoma State","West Virginia","45","41"
"NA","Old Dominion","Virginia Military Institute","77","14"
"NA","Oregon","Arizona State","31","29"
"NA","Rutgers","Penn State","7","20"
"NA","Wake Forest","Pittsburgh","13","34"
"NA","South Carolina","Chattanooga","49","9"
"NA","Southern Mississippi","Louisiana Tech","21","20"
"NA","Temple","South Florida","27","17"
"NA","Texas","Iowa State","24","10"
"NA","Texas A&M","Alabama-Birmingham","41","20"
"NA","Baylor","Texas Christian","9","16"
"NA","Troy","Texas State","12","7"
"NA","UCLA","Southern California","34","27"
"NA","Colorado","Utah","7","30"
"NA","Colorado State","Utah State","24","29"
"NA","Vanderbilt","Mississippi","36","29"
"NA","Washington","Oregon State","42","23"
"NA","Washington State","Arizona","69","28"
"NA","Western Kentucky","Texas-El Paso","40","16"
"NA","Purdue","Wisconsin","44","47"
"NA","Wyoming","Air Force","35","27"
"NA","Miami (OH)","Ball State","42","21"
"NA","Western Michigan","Northern Illinois","28","21"
"NA","Air Force","Colorado State","27","19"
"NA","Mississippi","Mississippi State","3","35"
"NA","Bowling Green State","Buffalo","14","44"
"NA","South Florida","Central Florida","10","38"
"NA","Cincinnati","East Carolina","56","6"
"NA","Kent State","Eastern Michigan","20","28"
"NA","Iowa","Nebraska","31","28"
"NA","Memphis","Houston","52","31"
"NA","Missouri","Arkansas","38","0"
"NA","Ohio","Akron","49","28"
"NA","West Virginia","Oklahoma","56","59"
"NA","Oregon State","Oregon","15","55"
"NA","Kansas","Texas","17","24"
"NA","Toledo","Central Michigan","51","13"
"NA","Virginia Tech","Virginia","34","31"
"NA","Washington State","Washington","15","28"
"NA","Alabama","Auburn","52","21"
"NA","Appalachian State","Troy","21","10"
"NA","Arizona","Arizona State","40","41"
"NA","Texas State","Arkansas State","7","33"
"NA","Baylor","Texas Tech","35","24"
"NA","Boise State","Utah State","33","24"
"NA","California","Colorado","33","21"
"NA","Florida Atlantic","Charlotte","24","27"
"NA","Clemson","South Carolina","56","35"
"NA","Florida State","Florida","14","41"
"NA","Fresno State","San Jose State","31","13"
"NA","Georgia","Georgia Tech","45","21"
"NA","Georgia State","Georgia Southern","14","35"
"NA","San Diego State","Hawaii","30","31"
"NA","Iowa State","Kansas State","42","38"
"NA","Louisville","Kentucky","10","56"
"NA","Louisiana-Monroe","Louisiana","28","31"
"NA","Florida International","Marshall","25","28"
"NA","Miami (FL)","Pittsburgh","24","3"
"NA","Michigan State","Rutgers","14","10"
"NA","Middle Tennessee State","Alabama-Birmingham","27","3"
"NA","Wisconsin","Minnesota","15","37"
"NA","Nevada-Las Vegas","Nevada","34","29"
"NA","North Carolina","North Carolina State","28","34"
"NA","Texas-San Antonio","North Texas","21","24"
"NA","Northwestern","Illinois","24","16"
"NA","Southern California","Notre Dame","17","24"
"NA","Ohio State","Michigan","62","39"
"NA","Penn State","Maryland","38","3"
"NA","Indiana","Purdue","21","28"
"NA","Rice","Old Dominion","27","13"
"NA","South Alabama","Coastal Carolina","31","28"
"NA","Texas-El Paso","Southern Mississippi","7","39"
"NA","UCLA","Stanford","42","49"
"NA","Boston College","Syracuse","21","42"
"NA","Connecticut","Temple","7","57"
"NA","Texas A&M","Louisiana State","74","72"
"NA","Texas Christian","Oklahoma State","31","24"
"NA","Tulane","Navy","29","28"
"NA","Tulsa","Southern Methodist","27","24"
"NA","Utah","Brigham Young","35","27"
"NA","Vanderbilt","Tennessee","38","13"
"NA","Duke","Wake Forest","7","59"
"NA","Louisiana Tech","Western Kentucky","15","30"
"NA","New Mexico","Wyoming","3","31"
"NA","Northern Illinois","Buffalo","30","29"
"NA","Washington","Utah","10","3"
"NA","Alabama","Georgia","35","28"
"NA","Middle Tennessee State","Alabama-Birmingham","25","27"
"NA","Appalachian State","Louisiana","30","19"
"NA","Central Florida","Memphis","56","41"
"NA","Clemson","Pittsburgh","42","10"
"NA","Boise State","Fresno State","16","19"
"NA","Iowa State","Drake","27","24"
"NA","North Carolina State","East Carolina","58","3"
"NA","Ohio State","Northwestern","45","24"
"NA","Oklahoma","Texas","39","27"
"NA","South Carolina","Akron","28","3"
"NA","California","Stanford","13","23"
"NA","Virginia Tech","Marshall","41","20"
